release_date,spawning_year,season_day,offset_days,n_particles,n_M1,frac_M1,n_missing,n_verify_mismatch,verify_max_diff,verify_mean_diff
1997-12-07,1998,22,26,545807,301483,0.5523619154756169,0,,,
1997-12-08,1998,23,0,545807,223378,0.40926188194728175,0,0.0,0.1603718400001526,1.444816726253695e-06
1997-12-08,1998,23,23,545807,303669,0.5563669941939183,0,,,
1997-12-08,1998,23,24,545807,302641,0.5544835445496302,0,,,
1997-12-08,1998,23,25,545807,303594,0.5562295829844616,0,,,
1997-12-08,1998,23,26,545807,303363,0.5558063564593345,0,,,
1997-12-09,1998,24,0,545807,221006,0.40491602342952726,0,1.0,0.12661319971084595,1.2941452539827117e-06
1997-12-09,1998,24,23,545807,303466,0.5559950678536553,0,,,
1997-12-09,1998,24,24,545807,303671,0.5563706584928372,0,,,
1997-12-09,1998,24,25,545807,302640,0.5544817124001707,0,,,
1997-12-09,1998,24,26,545807,303593,0.5562277508350021,0,,,
1997-12-10,1998,25,0,545807,212468,0.3892731313449626,0,3.0,0.12939654290676117,1.1943313590707464e-06
1997-12-10,1998,25,23,545807,300935,0.5513578975718523,0,,,
1997-12-10,1998,25,24,545807,303465,0.5559932357041958,0,,,
1997-12-10,1998,25,25,545807,303670,0.5563688263433778,0,,,
1997-12-10,1998,25,26,545807,302641,0.5544835445496302,0,,,
1997-12-11,1998,26,0,545807,194031,0.35549379176155677,0,0.0,0.14092743583023548,2.021464813514273e-06
1997-12-11,1998,26,23,545807,298759,0.547371140348145,0,,,
1997-12-11,1998,26,24,545807,300933,0.5513542332729334,0,,,
1997-12-11,1998,26,25,545807,303465,0.5559932357041958,0,,,
1997-12-11,1998,26,26,545807,303672,0.5563724906422967,0,,,
1997-12-12,1998,27,0,545807,176947,0.32419335039675196,0,2.0,0.12571322917938232,1.6499887341654068e-06
1997-12-12,1998,27,23,545807,296882,0.5439321958128056,0,,,
1997-12-12,1998,27,24,545807,298760,0.5473729724976044,0,,,
1997-12-12,1998,27,25,545807,300933,0.5513542332729334,0,,,
1997-12-12,1998,27,26,545807,303465,0.5559932357041958,0,,,
1997-12-13,1998,28,0,545807,158910,0.2911468705971158,0,0.0,0.09487992525100708,1.905876531957076e-06
1997-12-13,1998,28,23,545807,293564,0.5378531239064358,0,,,
1997-12-13,1998,28,24,545807,296884,0.5439358601117245,0,,,
1997-12-13,1998,28,25,545807,298763,0.5473784689459827,0,,,
1997-12-13,1998,28,26,545807,300935,0.5513578975718523,0,,,
1997-12-14,1998,29,0,545807,147090,0.26949086398672056,0,1.0,0.22088078409433365,1.4179627229321995e-06
1997-12-14,1998,29,23,545807,294955,0.540401643804495,0,,,
1997-12-14,1998,29,24,545807,293564,0.5378531239064358,0,,,
1997-12-14,1998,29,25,545807,296881,0.5439303636633462,0,,,
1997-12-14,1998,29,26,545807,298763,0.5473784689459827,0,,,
1997-12-15,1998,30,0,545807,139282,0.25518544100753565,0,0.0,0.198756642639637,1.8667343714897234e-06
1997-12-15,1998,30,23,545807,292020,0.5350242851410847,0,,,
1997-12-15,1998,30,24,545807,294954,0.5403998116550356,0,,,
1997-12-15,1998,30,25,545807,293566,0.5378567882053547,0,,,
1997-12-15,1998,30,26,545807,296881,0.5439303636633462,0,,,
1997-12-16,1998,31,0,545807,131717,0.2413252303469908,0,2.0,0.12178818881511688,1.3889335227405728e-06
1997-12-16,1998,31,23,545807,290284,0.5318436736795241,0,,,
1997-12-16,1998,31,24,545807,292018,0.5350206208421658,0,,,
1997-12-16,1998,31,25,545807,294956,0.5404034759539544,0,,,
1997-12-16,1998,31,26,545807,293563,0.5378512917569763,0,,,
1997-12-17,1998,32,0,545807,132190,0.24219183704129849,0,3.0,0.11408558487892151,1.8791928362229543e-06
1997-12-17,1998,32,23,545807,291372,0.5338370522913777,0,,,
1997-12-17,1998,32,24,545807,290284,0.5318436736795241,0,,,
1997-12-17,1998,32,25,545807,292018,0.5350206208421658,0,,,
1997-12-17,1998,32,26,545807,294956,0.5404034759539544,0,,,
1997-12-18,1998,33,0,545807,128590,0.235596098987371,0,0.0,0.19609694927930832,2.9421204719671753e-06
1997-12-18,1998,33,23,545807,285052,0.5222578677078161,0,,,
1997-12-18,1998,33,24,545807,291371,0.5338352201419183,0,,,
1997-12-18,1998,33,25,545807,290284,0.5318436736795241,0,,,
