release_date,spawning_year,release_month,n_particles,n_M6,n_M6_north_1979-2015,n_M6_north_2016-2025,n_M6_north_envelope
2020-11-15,2021,11,545807,249746,193281,200948,193156
2020-11-16,2021,11,545807,249140,192944,200418,192836
2020-11-17,2021,11,545807,248239,192660,199886,192546
2020-11-18,2021,11,545807,247322,193220,200480,193094
2020-11-19,2021,11,545807,250017,194207,201884,194099
2020-11-20,2021,11,545807,250824,194587,202531,194447
2020-11-21,2021,11,545807,254391,195219,203337,195088
2020-11-22,2021,11,545807,256921,195387,203517,195249
2020-11-23,2021,11,545807,253606,195390,203626,195256
2020-11-24,2021,11,545807,252835,195041,203333,194899
2020-11-25,2021,11,545807,251740,195456,203927,195311
2020-11-26,2021,11,545807,250202,194861,203295,194735
2020-11-27,2021,11,545807,249580,194309,203105,194187
2020-11-28,2021,11,545807,248248,193991,202766,193867
2020-11-29,2021,11,545807,248883,194636,203650,194506
2020-11-30,2021,11,545807,253582,196908,206564,196776
2020-12-01,2021,12,545807,253750,196973,206601,196849
2020-12-02,2021,12,545807,256026,197280,207054,197146
2020-12-03,2021,12,545807,256558,198161,207746,198032
2020-12-04,2021,12,545807,253762,197544,207375,197442
2020-12-05,2021,12,545807,250792,197117,206670,197007
2020-12-06,2021,12,545807,250457,197940,207768,197820
2020-12-07,2021,12,545807,252471,198426,208503,198314
2020-12-08,2021,12,545807,254677,198581,208705,198491
2020-12-09,2021,12,545807,255975,199235,209361,199145
2020-12-10,2021,12,545807,257691,199180,209261,199082
2020-12-11,2021,12,545807,258823,199649,209898,199578
2020-12-12,2021,12,545807,260908,199513,209500,199438
2020-12-13,2021,12,545807,263745,199496,209510,199429
2020-12-14,2021,12,545807,262192,198728,208512,198660
2020-12-15,2021,12,545807,260942,198224,208032,198151
2020-12-16,2021,12,545807,259481,198129,207667,198062
2020-12-17,2021,12,545807,259989,198053,207606,197978
2020-12-18,2021,12,545807,259466,197671,207352,197603
2020-12-19,2021,12,545807,259781,197720,207111,197631
2020-12-20,2021,12,545807,258642,197774,207026,197705
2020-12-21,2021,12,545807,257950,197379,206629,197274
2020-12-22,2021,12,545807,261513,197936,207593,197850
2020-12-23,2021,12,545807,264329,199041,208679,198950
2020-12-24,2021,12,545807,263706,199000,208590,198910
2020-12-25,2021,12,545807,258775,199064,208490,198978
2020-12-26,2021,12,545807,255090,199227,208656,199123
2020-12-27,2021,12,545807,253372,198452,207982,198370
2020-12-28,2021,12,545807,253283,199061,208550,198973
2020-12-29,2021,12,545807,253207,199095,208398,199001
2020-12-30,2021,12,545807,251174,199139,208488,199048
2020-12-31,2021,12,545807,248064,198965,208224,198880
2021-01-01,2021,1,545807,244583,199340,208323,199233
2021-01-02,2021,1,545807,239760,199220,208194,199154
2021-01-03,2021,1,545807,236723,198932,207991,198880
2021-01-04,2021,1,545807,234918,198615,207750,198554
2021-01-05,2021,1,545807,233880,198406,207575,198335
2021-01-06,2021,1,545807,233309,198394,207429,198337
2021-01-07,2021,1,545807,232569,198188,207218,198132
2021-01-08,2021,1,545807,227563,197948,206206,197890
2021-01-09,2021,1,545807,222814,198199,205937,198127
2021-01-10,2021,1,545807,219516,198141,205432,198073
2021-01-11,2021,1,545807,215036,197883,204171,197819
2021-01-12,2021,1,545807,209814,197698,203010,197679
2021-01-13,2021,1,545807,207483,197327,202542,197306
2021-01-14,2021,1,545807,206913,197712,202545,197698
2021-01-15,2021,1,545807,206688,197464,202235,197450
2021-01-16,2021,1,545807,206753,197603,202417,197588
2021-01-17,2021,1,545807,206487,197614,202217,197604
2021-01-18,2021,1,545807,206429,197818,202385,197803
2021-01-19,2021,1,545807,206467,197767,202454,197756
2021-01-20,2021,1,545807,206170,197681,202108,197667
2021-01-21,2021,1,545807,206693,198240,202686,198228
2021-01-22,2021,1,545807,206768,198428,202959,198410
2021-01-23,2021,1,545807,206738,198322,202747,198293
2021-01-24,2021,1,545807,206822,198256,202857,198231
2021-01-25,2021,1,545807,206461,198008,202535,197977
2021-01-26,2021,1,545807,206483,197903,202524,197875
2021-01-27,2021,1,545807,205678,197435,201723,197409
2021-01-28,2021,1,545807,205634,197501,201742,197477
2021-01-29,2021,1,545807,205190,197439,201606,197419
2021-01-30,2021,1,545807,204755,197349,201320,197324
2021-01-31,2021,1,545807,204327,197412,201254,197390
2021-02-01,2021,2,545807,203309,196961,200570,196930
2021-02-02,2021,2,545807,202790,196776,200438,196755
2021-02-03,2021,2,545807,202279,196470,199974,196453
2021-02-04,2021,2,545807,201630,196025,199379,196011
2021-02-05,2021,2,545807,201304,195882,199119,195867
2021-02-06,2021,2,545807,200646,195516,198492,195506
2021-02-07,2021,2,545807,199614,195143,197514,195134
2021-02-08,2021,2,545807,199402,195168,197310,195156
2021-02-09,2021,2,545807,198913,194952,197050,194950
2021-02-10,2021,2,545807,198296,194572,196535,194569
2021-02-11,2021,2,545807,196945,193502,195408,193496
